what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1254157217488
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157219290
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157280155
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157282116
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157282733
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157283341
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157285743
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157288638
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157293702
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157294114
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.6,org.tigris.subversion.clientadapter.javahl,1254157303592
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6,org.tigris.subversion.clientadapter.svnkit,1254157303643
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1254157303726
started,bundle,org.tmatesoft.svnkit,1.2.2.5405,org.tmatesoft.svnkit,1254157303800
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157304033
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1254157305138
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.104.v200902121909,org.eclipse.wst.jsdt.web.core,1254157305427
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157309922
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157313294
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157313659
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157313892
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157316374
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157316438
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1254157320152
activated,view,com.adobe.flexbuilder.editors.actionscript,3.0.204732,com.adobe.flexbuilder.navigator,1254157321342
